id,user_id,core_value_id,status,area,goal,specific,measurable,achievable,relevant,time_bound,is_default,is_edited
a1b2c3d4-1111-4a11-8111-444444444444,00000000-0000-4000-8000-000000000001,550e8400-e29b-41d4-a716-446655440001,Working on,Letter Recognition,"Recognize and name uppercase and lowercase letters","Practice letter songs daily.","Match correct letter 8/10 times.","Use alphabet puzzles and games.","Foundation for reading and writing.","Track progress weekly.",true,false
b2c3d4e5-2222-4b22-8222-555555555555,00000000-0000-4000-8000-000000000002,550e8400-e29b-41d4-a716-446655440001,Working on,Phonemic Awareness,"Identify sounds that letters make (e.g., “A is for apple”)","Practice sounds with flashcards.","Identify beginning sounds in words.","Use letter-sound songs.","Supports early reading skills.","Practice 10 minutes daily.",true,false
c3d4e5f6-3333-4c33-8333-666666666666,00000000-0000-4000-8000-000000000003,550e8400-e29b-41d4-a716-446655440001,Working on,Name Writing,"Begin to write or trace their own name","Use name tracing sheets.","Write first name without help.","Finger tracing in sand/shaving cream.","Builds early writing confidence.","Track improvement weekly.",true,false
d4e5f6g7-4444-4d44-8444-777777777777,00000000-0000-4000-8000-000000000004,550e8400-e29b-41d4-a716-446655440001,Working on,Counting Skills,"Count aloud to 10–20, match numbers with objects","Practice counting objects during play.","Track correct number matches.","Use toys and snacks for practice.","Develops number sense.","During playtime.",true,false
e5f6a7b8-5555-4e55-8555-888888888888,00000000-0000-4000-8000-000000000005,550e8400-e29b-41d4-a716-446655440001,Working on,Shape Recognition,"Identify common shapes: circle, square, triangle","Draw and find shapes daily.","Point out 5 shapes in surroundings.","Play shape hunt game.","Supports early math skills.","Each afternoon session.",true,false
f6a7b8c9-6666-4f66-8666-999999999999,00000000-0000-4000-8000-000000000006,550e8400-e29b-41d4-a716-446655440001,Working on,Color Identification,"Recognize and name primary colors","Play color sorting games.","Identify at least 6 colors.","Use colorful picture books.","Encourages visual perception.","Color of the day game.",true,false
a7b8c9d0-7777-4a77-8777-aaaaaaaaaaaa,00000000-0000-4000-8000-000000000007,550e8400-e29b-41d4-a716-446655440001,Working on,Pattern Recognition,"Recognize simple patterns (e.g., ABAB)","Build patterns with blocks.","Complete pattern sequences correctly.","Repeat with music or colors.","Strengthens cognitive skills.","3x a week activities.",true,false
b8c9d0e1-8888-4b88-8888-bbbbbbbbbbbb,00000000-0000-4000-8000-000000000008,550e8400-e29b-41d4-a716-446655440001,Working on,Story Comprehension,"Listen to a story and answer questions","Read aloud and ask simple questions.","Track answers with a sticker chart.","Use picture books with context.","Improves memory and attention.","Each bedtime story.",true,false
c9d0e1f2-9999-4c99-8999-cccccccccccc,00000000-0000-4000-8000-000000000009,550e8400-e29b-41d4-a716-446655440001,Working on,Rhyming Words,"Recognize words that rhyme","Sing rhyming songs daily.","Match 3 rhyming word pairs.","Use nursery rhymes and poems.","Boosts phonological awareness.","Weekly rhyme game.",true,false
d0e1f2g3-aaaa-4d00-8aaa-dddddddddddd,00000000-0000-4000-8000-000000000010,550e8400-e29b-41d4-a716-446655440001,Working on,Letter Sound Matching,"Match letters with their sounds","Use sound cards with pictures.","Match 10 letters to correct sounds.","Sing letter-sound songs.","Strengthens reading readiness.","Every morning session.",true,false
